LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,Flag Codes
USA,1972,34.369,5.80215931389794,17915.8695527905,A
BEL,1972,27.629,4.098,51.474,A
GBR,1972,12.976,20.7261654643634,147.759,A
NZL,1972,77.284,23.8242574257426,252.413,A
AUS,1972,15.091,1.31680205215904,3942.5601546706,A
DNK,1972,15.978,11.7403227674981,4927.829037,D
AUS,1972,15.091,1.31680205215904,137.797,A
USA,1972,34.369,5.80215931389794,245.269,A
NZL,1972,77.284,23.8242574257426,195.074,A
DEU,1972,15.851,14.5530809449412,86.218,A
NOR,1972,5.167,38.594,14.915,A
KOR,1972,89.554,-2.50720528621974,3.754,A
NOR,1972,5.167,38.594,208.148,A
KOR,1972,89.554,-2.50720528621974,18.674,A
AUT,1972,61.053,27.365352747705,209.236,A
NZL,1972,77.284,23.8242574257426,4511.643479,A
AUS,1972,15.091,1.31680205215904,41.059,A
NOR,1972,5.167,38.594,4042.953194,A
NZL,1972,77.284,23.8242574257426,4708.612672,A
FIN,1975,20.18,-7.42539821780396,65.893,A
GBR,1975,12.706,4.27005721849427,28.643,A
FIN,1975,20.18,-7.42539821780396,36.768,A
PRT,1975,57.484,4.71207922854987,149.609,A
DEU,1975,78.087,17.1106423048819,532.481,A
USA,1975,30.768,29.6127316452451,7799.547182,A
USA,1975,30.768,29.6127316452451,172.531,A
DNK,1975,14.568,7.292,69.791,D
AUS,1975,11.849,27.3203916110764,6939.163592,A
AUT,1975,32.161,2.916,262.579,A
GBR,1975,12.706,4.27005721849427,20.447,A
NLD,1975,28.075,11.8879464830995,325.723,A
KOR,1975,20.461,14.841,3.307,A
IRL,1975,83.534,38.221970494092,210.683,A
DEU,1975,78.087,17.1106423048819,415.799,A
FIN,1975,20.18,-7.42539821780396,219.766,A
DEU,1975,78.087,17.1106423048819,53.503,A
CAN,1975,76.506,1.527,7261.291122,B
DEU,1973,24.098,64.2004005301686,92.668,A
NOR,1973,7.057,12.071,16.755,A
NOR,1973,7.057,12.071,237.436,A
KOR,1973,10.674,0.166446547138748,19.189,A
AUT,1973,61.138,63.0207767648011,237.846,A
NZL,1973,25.963,1.03830271858672,4908.384651,A
AUS,1973,60.794,13.1291209701468,45.526,A
NOR,1973,7.057,12.071,4426.297348,A
NZL,1973,25.963,1.03830271858672,5072.015534,A
NOR,1973,7.057,12.071,223.161,A
NZL,1973,25.963,1.03830271858672,77.074,A
SWE,1973,15.224,24.9733484486018,359.492,A
SWE,1973,15.224,24.9733484486018,33.528,A
ISL,1973,17.857,37.1613421845564,42.803,D
DEU,1973,24.098,64.2004005301686,58.791,A
CAN,1973,25.699,8.2960549544042,40.128,A
AUS,1973,60.794,13.1291209701468,37.956,A
KOR,1973,10.674,0.166446547138748,894.725363,A
AUS,1973,60.794,13.1291209701468,5776.467777,A
KOR,1973,10.674,0.166446547138748,828.324829,A
SWE,1974,8.995,-0.999114115706309,37.792,A
ISL,1974,12.516,68.1007383911238,46.62,D
DEU,1974,22.832,10.9454773327907,67.371,A
AUS,1974,38.866,-3.44537225457863,45.338,A
CAN,1974,24.385,65.5164430507761,42.13,A
SWE,1974,8.995,-0.999114115706309,420.151,A
KOR,1974,88.899,1.18,1052.613134,A
AUS,1974,38.866,-3.44537225457863,6259.316203,A
KOR,1974,88.899,1.18,975.366132,A
AUS,1974,38.866,-3.44537225457863,119.29,A
PRT,1974,38.427,72.4668959577267,42.826,A
FIN,1974,13.361,18.7490865286656,66.602,A
GBR,1974,89.141,31.6283826401291,29.428,A
FIN,1974,13.361,18.7490865286656,32.696,A
PRT,1974,38.427,72.4668959577267,111.447,A
DEU,1974,22.832,10.9454773327907,452.744,A
CAN,1974,24.385,65.5164430507761,420.196,A
USA,1974,59.596,4.884,7261.872481,A
USA,1974,59.596,4.884,160.731,A
DNK,1974,14.969,7.05,64.583,D
AUS,1974,38.866,-3.44537225457863,6245.904885,A
NZL,1971,74.857,5.007,4162.171951,A
USA,1971,38.115,-0.123191853713322,4882.23427,A
USA,1971,38.115,-0.123191853713322,126.707,A
KOR,1971,87.476,0.596276905177429,15.894,A
USA,1971,38.115,-0.123191853713322,5608.545346,A
GBR,1971,15.992,22.1114299118562,3925.37236,A
CAN,1971,73.487,-0.386205222362857,230.302,A
USA,1971,38.115,-0.123191853713322,136.449,A
ESP,1971,36.472,64.1794922277978,64.898,A
