LOCATION,TIME,PC_HEALTHXP,PC_GDP
SWE,1972,8.49,0.506
ISL,1972,17.838,0.891
CAN,1972,10.962,0.706
DEU,1975,14.332,1.149
FRA,1975,20.741,1.277
BEL,1975,21.886,1.214
AUS,1975,11.849,0.682
ISL,1973,16.597,0.759
CAN,1973,10.942,0.671
DEU,1974,14.881,1.094
BEL,1974,26.779,1.19
GBR,1971,15.992,0.642
FIN,1971,14.426,0.763
SWE,1971,7.768,0.455
NZL,1971,11.429,0.572
KOR,1970,20.498,0.539
GBR,1970,15.819,0.628
FRA,1970,24.413,1.27
FIN,1970,13.822,0.69
GBR,1979,13.627,0.646
FIN,1979,11.983,0.718
SWE,1979,7.381,0.548
LUX,1979,15.969,0.751
NOR,1977,6.355,0.353
NLD,1977,9.183,0.568
PRT,1977,20.706,0.846
KOR,1977,20.377,0.451
PRT,1978,24.23,1.021
KOR,1978,20.877,0.501
GBR,1978,13.849,0.665
FIN,1978,12.685,0.778
NZL,1976,10.638,0.644
AUS,1976,10.92,0.63
NOR,1976,6.876,0.366
NLD,1976,9.525,0.581
ISL,1981,15.576,0.939
CAN,1981,9.357,0.633
SWE,1980,6.974,0.539
LUX,1980,15.579,0.749
CAN,1980,8.934,0.584
ESP,1984,19.24,0.99
AUS,1984,9.465,0.569
NOR,1984,10.941,0.599
NLD,1984,9.244,0.606
DNK,1984,6.631,0.528
DEU,1982,13.99,1.151
BEL,1982,15.4,1.051
PRT,1986,23.01,1.365
KOR,1986,21.47,0.676
JPN,1986,18.892,1.188
GBR,1986,15.07,0.772
NZL,1986,14.491,0.73
FIN,1986,10.079,0.681
DEU,1983,14.21,1.168
BEL,1983,15.594,1.09
ESP,1983,20.64,1.101
AUS,1983,9.589,0.58
ISL,1989,15.347,1.196
CAN,1989,11.691,0.929
GBR,1987,14.468,0.749
NZL,1987,14.699,0.819
FIN,1987,10.069,0.694
USA,1987,8.695,0.857
TUR,1987,13.333,0.253
SWE,1987,8.143,0.578
LUX,1987,16.152,0.819
IRL,1987,11.546,0.745
USA,1988,8.634,0.885
SWE,1988,7.585,0.532
LUX,1988,15.491,0.813
IRL,1988,12.019,0.738
ISL,1988,14.692,1.171
CAN,1988,11.383,0.881
