LOCATION,MEASURE,TIME,Value,Flag Codes
AUS,USD_CAP,1971,35.72,
AUS,USD_CAP,1972,36.056,
AUS,USD_CAP,1973,39.871,
AUS,USD_CAP,1974,47.559,
AUS,USD_CAP,1975,47.561,
AUS,USD_CAP,1976,46.908,
AUS,USD_CAP,1977,47.649,
AUS,USD_CAP,1978,50.799,
AUS,USD_CAP,1979,49.766,
AUS,USD_CAP,1980,56.972,
AUS,USD_CAP,1981,65.39,
AUS,USD_CAP,1982,67.606,
AUS,USD_CAP,1983,74.083,
AUS,USD_CAP,1984,77.27,
AUS,USD_CAP,1985,84.134,
AUS,USD_CAP,1986,89.94,
AUS,USD_CAP,1987,93.578,
AUS,USD_CAP,1988,102.027,
AUS,USD_CAP,1989,111.197,
AUS,USD_CAP,1990,120.773,
AUS,USD_CAP,1991,134.356,
AUS,USD_CAP,1992,149.096,
AUS,USD_CAP,1993,165.359,
AUS,USD_CAP,1994,183.972,
AUS,USD_CAP,1995,198.406,
AUS,USD_CAP,1996,215.606,
AUS,USD_CAP,1997,232.59,
AUS,USD_CAP,1998,261.728,
AUS,USD_CAP,1999,291.589,
AUS,USD_CAP,2000,338.665,
AUS,USD_CAP,2001,364.771,
AUS,USD_CAP,2002,373.044,
AUS,USD_CAP,2003,401.302,
AUS,USD_CAP,2004,429.882,
AUS,USD_CAP,2005,432.513,
AUS,USD_CAP,2006,461.821,
AUS,USD_CAP,2007,485.887,
AUS,USD_CAP,2008,510.172,
AUS,USD_CAP,2009,553.724,
AUS,USD_CAP,2010,563.857,
AUS,USD_CAP,2011,580.921,
AUS,USD_CAP,2012,582.874,
AUS,USD_CAP,2013,627.402,
AUS,USD_CAP,2014,616.997,
AUT,USD_CAP,1990,152.003,B
AUT,USD_CAP,1991,160.118,
AUT,USD_CAP,1992,169.708,
AUT,USD_CAP,1993,181.793,
AUT,USD_CAP,1994,192.083,
AUT,USD_CAP,1995,201.335,
AUT,USD_CAP,1996,214.418,
AUT,USD_CAP,1997,255.927,
AUT,USD_CAP,1998,288.769,
AUT,USD_CAP,1999,322.318,
AUT,USD_CAP,2000,344.082,
AUT,USD_CAP,2001,356.061,
AUT,USD_CAP,2002,385.304,
AUT,USD_CAP,2003,417.087,
AUT,USD_CAP,2004,435.327,
AUT,USD_CAP,2005,445.188,
AUT,USD_CAP,2006,474.834,
AUT,USD_CAP,2007,504.849,
AUT,USD_CAP,2008,538.253,
AUT,USD_CAP,2009,517.265,
AUT,USD_CAP,2010,524.143,
AUT,USD_CAP,2011,546.783,
AUT,USD_CAP,2012,570.525,
AUT,USD_CAP,2013,594.13,
AUT,USD_CAP,2014,616.256,
AUT,USD_CAP,2015,632.737,
BEL,USD_CAP,1970,41.918,
BEL,USD_CAP,1971,46.908,
BEL,USD_CAP,1972,52.105,
BEL,USD_CAP,1973,61.916,
BEL,USD_CAP,1974,69.147,
BEL,USD_CAP,1975,75.852,
BEL,USD_CAP,1976,75.524,
BEL,USD_CAP,1977,84.525,
BEL,USD_CAP,1978,93.107,
BEL,USD_CAP,1979,100.444,
BEL,USD_CAP,1980,110.325,
BEL,USD_CAP,1981,118.541,
BEL,USD_CAP,1982,125.806,
BEL,USD_CAP,1983,136.098,
BEL,USD_CAP,1984,135.461,
BEL,USD_CAP,1985,149.946,
BEL,USD_CAP,1986,159.833,
BEL,USD_CAP,1987,172.74,
BEL,USD_CAP,1988,192.778,
BEL,USD_CAP,1989,201.741,
BEL,USD_CAP,1990,206.956,
BEL,USD_CAP,1991,227.548,
BEL,USD_CAP,1992,251.603,
BEL,USD_CAP,1993,276.698,
BEL,USD_CAP,1994,283.434,
BEL,USD_CAP,1995,304.259,
BEL,USD_CAP,1996,303.867,
BEL,USD_CAP,1997,318.442,
BEL,USD_CAP,2003,483.535,B
BEL,USD_CAP,2004,502.408,
BEL,USD_CAP,2005,512.107,
BEL,USD_CAP,2006,521.218,B
BEL,USD_CAP,2007,550.12,
BEL,USD_CAP,2008,584.31,
BEL,USD_CAP,2009,605.096,
BEL,USD_CAP,2010,623.97,
BEL,USD_CAP,2011,638.092,
BEL,USD_CAP,2012,629.735,
BEL,USD_CAP,2013,642.958,
BEL,USD_CAP,2014,644.954,
BEL,USD_CAP,2015,678.971,
CAN,USD_CAP,1970,34.512,
CAN,USD_CAP,1971,37.493,
CAN,USD_CAP,1972,38.279,
CAN,USD_CAP,1973,40.48,
CAN,USD_CAP,1974,40.559,
CAN,USD_CAP,1975,44.367,B
CAN,USD_CAP,1976,46.967,
CAN,USD_CAP,1977,50.511,
CAN,USD_CAP,1978,55.298,
